pagina,moneda,precio,expensas,direccion,dorm,mts,extras,tipo,url,descripcion
INMOBUSQUEDAS,$,180000,0,"600 y 115 bis a estrenar villa elvira, pdo. de la plata",-,30,"['monoamb', 'garage no']",departamento,https://www.inmobusqueda.com.ar/ficha-495484,monoambiente en alquiler ubicado en calle 600 esq. 115 bis. el departamento se encuentra en un 1er piso por escalera. cuenta con un espacioso ambiente ...
INMOBUSQUEDAS,$,180000,0,"1 n°2318 1/2 e/ 79 y 80 villa elvira, pdo. de la plata",-,28,"['monoamb', 'garage no']",departamento,https://www.inmobusqueda.com.ar/ficha-383483,"garage convertido a departamento, planta baja al frente, cocina-comedor y dormitorio separado por un tabique de machimbre. sobre avenida, a metros de parad..."
INMOBUSQUEDAS,$,200000,0,"92 n°250 y 115 villa elvira, pdo. de la plata",1,30,['garage no'],departamento,https://www.inmobusqueda.com.ar/ficha-496559,"departamento en primer piso, con cocina-comedor, dos dormitorios y un baño. no se aceptan mascotas"
INMOBUSQUEDAS,$,200000,0,"66 al 100 la plata (casco urbano), pdo. de la plata",-,00,"['monoamb', '35.00 mts', 'garage no']",departamento,https://www.inmobusqueda.com.ar/ficha-496870,monoambiente en alquiler. ubicado en 66 116 y 117ambiente con pequeña cocina separada y baño. no posee expensas.
INMOBUSQUEDAS,$,200000,0,"77 nro. 1636 entre 27 bis y 28 (pb°a) altos de san lorenzo, pdo. de la plata",1,38,['garage no'],departamento,https://www.inmobusqueda.com.ar/ficha-490061,"departamento de 1 dormitorio en planta baja. cuenta con cocina comedor, dormitorio y baño. cuenta con patio compartido. sin expensas. contrato por 2..."
INMOBUSQUEDAS,$,200000,0,"70 n°75 e/ 120 y 121 la plata (casco urbano), pdo. de la plata",-,20,"['monoamb', 'garage no']",departamento,https://www.inmobusqueda.com.ar/ficha-90732,monoambiente en planta baja al frente en excelente zona. gas envasado. sin expensas.
INMOBUSQUEDAS,$,200000,0,"plaza matheu n°117 y diagonal 73 plaza mateu, la plata (casco urbano), pdo. de la plata",1,40,['garage no'],departamento,https://www.inmobusqueda.com.ar/ficha-298641,ph en plaza matheu sin expensas primer piso por escalera ideal estudiantes! 1 dormitorio cocina integrada al comedor baño espacio de zona verd...
INMOBUSQUEDAS,$,210000,0,"1 e/ 46 y 47 la plata (casco urbano), pdo. de la plata",-,38,"['monoamb', 'garage no']",departamento,https://www.inmobusqueda.com.ar/ficha-484739,"alquilamos: 1 e/ 46 y 47:departamento monoambiente con gran vista. cocina separada con muebles, baño. mas info y consultas a nuestro wsap. 474"
INMOBUSQUEDAS,$,210000,0,"64 nro. 116 entre 117 y 118 (depto. 1) la plata (casco urbano), pdo. de la plata",-,20,"['monoamb', 'garage no']",departamento,https://www.inmobusqueda.com.ar/ficha-490938,"monoambiente en pb al frente cuenta con estar comedor, cocina y baño sin expensas absa aprox. $ 14,000 contrato 2 años, ajuste cuatrimestral ..."
INMOBUSQUEDAS,$,210000,0,"63 y 125 la plata (casco urbano), pdo. de la plata",-,20,"['monoamb', 'garage no']",departamento,https://www.inmobusqueda.com.ar/ficha-143160,"ideal estudiantes!! monoambiente modesto. patio común, sin expensas! gas incluído en el valor del alquiler. oportunidad!"
