pagina,moneda,precio,expensas,direccion,dorm,mts,extras,tipo,url,descripcion
INMOBUSQUEDAS,$,180000,15000,"29 n° 1233 depto 115 e/ 57 y 58 la plata (casco urbano), pdo. de la plata",-,28,"['monoamb', 'garage no']",departamento,https://www.inmobusqueda.com.ar/ficha-465694,monoambiente. muy buen estado. cocina con spar y muebles sobre y bajo mesada. terraza común. asensor. sistema de climatización por tiro balan...
INMOBUSQUEDAS,$,180000,8000,"70 n° 177 e/ 121 y 122 piso 2 dto a la plata (casco urbano), pdo. de la plata",-,24,"['monoamb', 'garage no']",departamento,https://www.inmobusqueda.com.ar/ficha-486196,"monoambiente dividido con un dorm, al frente 2do piso por escalera. alberto dacal propiedades: código de la propiedad argentina | g.b.a. zona..."
INMOBUSQUEDAS,$,180000,12000,"78 bis n°435 e/ 3 y 4 barrio monasterio, villa elvira, pdo. de la plata",-,48,"['monoamb', 'garage no']",departamento,https://www.inmobusqueda.com.ar/ficha-479405,"monoambiente amplio, muy luminoso. primer piso por escalera."
INMOBUSQUEDAS,$,180000,0,"1 n°2318 1/2 e/ 79 y 80 villa elvira, pdo. de la plata",-,28,"['monoamb', 'garage no']",departamento,https://www.inmobusqueda.com.ar/ficha-383483,"garage convertido a departamento, planta baja al frente, cocina-comedor y dormitorio separado por un tabique de machimbre. sobre avenida, a metros de parad..."
INMOBUSQUEDAS,$,180000,0,"38 bis e/ 136 y 137 san carlos, pdo. de la plata",1,40,['garage si'],departamento,https://www.inmobusqueda.com.ar/ficha-481676,"depto humilde sobre 38bis, cocina/comedor, habitación (no tiene ventanas el dormitorio), baño con entrada de auto al frente y lavadero afuera. sin expensas..."
INMOBUSQUEDAS,$,190000,60000,"31 e/ 66 y 67 la plata (casco urbano), pdo. de la plata",-,40,"['monoamb', 'garage no']",departamento,https://www.inmobusqueda.com.ar/ficha-441037,"monoambiente con vestidor, baño completo, muy luminoso."
INMOBUSQUEDAS,$,190000,0,"1 e/ 33 y 34 la plata (casco urbano), pdo. de la plata",-,35,"['monoamb', 'garage no']",departamento,https://www.inmobusqueda.com.ar/ficha-484146,"monoambiente 1er piso por escalera con cocina incorporada y baño. se entrega con placard. cerca de la estacion de trenes, del centro de la ciudad de la pla..."
INMOBUSQUEDAS,$,190000,0,"31 e/ 66 y 67 la plata (casco urbano), pdo. de la plata",-,30,"['monoamb', 'garage no']",departamento,https://www.inmobusqueda.com.ar/ficha-492432,monoambiente en alquiler ubicado en 31 y 66 30 mts2 aprox. todo electrico amplio y luminoso conexión p...
INMOBUSQUEDAS,$,190000,0,"122 e/ 63 y 64 la plata (casco urbano), pdo. de la plata",1,30,['garage no'],departamento,https://www.inmobusqueda.com.ar/ficha-123312,"departamento tipo duplex 1 dormitorio amplio en planta alta, cocina comedor y baño completo en planta baja. zona universitaria. sin expensas."
INMOBUSQUEDAS,$,200000,0,"5 e/ 43 y 44 la plata (casco urbano), pdo. de la plata",-,25,"['monoamb', 'garage no']",departamento,https://www.inmobusqueda.com.ar/ficha-487963,monoambiente en alquiler ubicado en 5 e/ 43 y 44 25 mts2 aprox. cocina separada ( conexión para lavarropas) ...
